inchikey,key14,smiles_std,compound_name,bbb_class,logbb,b3db_threshold,b3db_uncertainty_classification,b3db_uncertainty_regression,b3db_reference_classification,b3db_reference_regression,source_id_classification,source_id_regression,coconut_id_exact_match,coconut_ids_key14_match,coconut_matches_key14
IBAUKGNDWVSETP-NRFANRHFSA-N,IBAUKGNDWVSETP,CCC(=O)N1CCN(C(=O)O[C@H]2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,zinc1481925,BBB+,,,C,,R24|,,b3db_classification:6169,,,,0
IBAUKGNDWVSETP-OAQYLSRUSA-N,IBAUKGNDWVSETP,CCC(=O)N1CCN(C(=O)O[C@@H]2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,suproclone,BBB+,,,C,,R27|R30|,,b3db_classification:7053,,,,0
IBAUKGNDWVSETP-UHFFFAOYSA-N,IBAUKGNDWVSETP,CCC(=O)N1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,suproclone,BBB+,,-1.0,B,,R1|R13|R19|R6|R27|R27|R30|,,b3db_classification:1424,,,,0
IBLNKMRFIPWSOY-CYBMUJFWSA-N,IBLNKMRFIPWSOY,CC(C)(C)[C@H](O)C=Cc1ccc2c(c1)OCO2,stiripentol,BBB+,,,C,,R27|R30|,,b3db_classification:6965,,CNP0603823.1,CNP0603823.1,1
IBLNKMRFIPWSOY-FNORWQNLSA-N,IBLNKMRFIPWSOY,CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,stiripentol,BBB+,,-1.0,B,,R1|R7|R6|R14|R23|R27|R29|R30|,,b3db_classification:1227,,CNP0603823.1,CNP0603823.1,1
IBLNKMRFIPWSOY-IYNGYCSASA-N,IBLNKMRFIPWSOY,CC(C)(C)[C@@H](O)/C=C/c1ccc2c(c1)OCO2,(-)-stiripentol,BBB+,,-1.0,B,,R13|R24|,,b3db_classification:2786,,CNP0603823.1,CNP0603823.1,1
IBLNKMRFIPWSOY-UHFFFAOYSA-N,IBLNKMRFIPWSOY,CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2,stiripentol [mi],BBB+,,-1.0,B,,R19|R27|,,b3db_classification:4200,,CNP0603823.1,CNP0603823.1,1
IBLNKMRFIPWSOY-VGVVRCBHSA-N,IBLNKMRFIPWSOY,CC(C)(C)[C@@H](O)/C=C\c1ccc2c(c1)OCO2,schembl19274001,BBB+,,-1.0,B,,R13|,,b3db_classification:2787,,CNP0603823.1,CNP0603823.1,1
IBPSWPNOIPLOEP-CNNODRBYSA-N,IBPSWPNOIPLOEP,COc1ccc([C@H]2[C@H](S(=O)(=O)c3ccc(Cl)cc3)[C@]2(C=O)NC(=O)OC(C)(C)C)cc1,mepyramine,BBB+,,-1.0,B,,R16|R16|R10|R10|,,b3db_classification:3998,,,,0
IBYCYJFUEJQSMK-KRWDZBQOSA-N,IBYCYJFUEJQSMK,CCN=C1Nc2ccc(Cl)cc2[C@](C)(c2ccccc2)O1,unii-963e1x3t2s,BBB+,,,C,,R24|R27|R30|,,b3db_classification:6257,,CNP0546562.0,CNP0546562.0,1
IBYCYJFUEJQSMK-UHFFFAOYSA-N,IBYCYJFUEJQSMK,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,etifoxine,BBB+,,-1.0,B,,R1|R13|R19|R6|R27|R27|R30|,,b3db_classification:1623,,CNP0546562.0,CNP0546562.0,1
IBZGBXXTIGCACK-LPOBJOOYSA-N,IBZGBXXTIGCACK,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)C[C@@H]3O,schembl12000782,BBB-,,-1.0,B,,R13|,,b3db_classification:3466,,,CNP0326315.1|CNP0326315.2,2
IBZGBXXTIGCACK-UHFFFAOYSA-N,IBZGBXXTIGCACK,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3O,adriamycinol-aglycone,BBB-,,-1.0,B,,R1|R27|R30|,,b3db_classification:2073,,,CNP0326315.1|CNP0326315.2,2
ICBQXEWYZVQCFH-UHFFFAOYSA-N,ICBQXEWYZVQCFH,CN(C)C(=O)CCNc1ccc(Br)cc1,bromamid,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1719,,,,0
ICDNYWJQGWNLFP-NWDGAFQWSA-N,ICDNYWJQGWNLFP,COC1=CC(=O)O[C@H]1[C@@H](O)c1ccccc1Cl,a-o33,BBB+,,-1.0,B,,R13|,,b3db_classification:3367,,,,0
ICDNYWJQGWNLFP-RYUDHWBXSA-N,ICDNYWJQGWNLFP,COC1=CC(=O)O[C@@H]1[C@@H](O)c1ccccc1Cl,losigamone,BBB+,,,C,,R6|R24|,,b3db_classification:4886,,,,0
ICDNYWJQGWNLFP-UHFFFAOYSA-N,ICDNYWJQGWNLFP,COC1=CC(=O)OC1C(O)c1ccccc1Cl,losigamone,BBB+,,-1.0,B,,R1|R19|R27|R27|R30|,,b3db_classification:1978,,,,0
ICDNYWJQGWNLFP-VXGBXAGGSA-N,ICDNYWJQGWNLFP,COC1=CC(=O)O[C@H]1[C@H](O)c1ccccc1Cl,losigamone,BBB+,,,C,,R27|R30|,,b3db_classification:7366,,,,0
ICFDDEJRXZSWTA-FSXKDMGSSA-N,ICFDDEJRXZSWTA,CO[C@H]1CCC[C@H]2C1=C(C(=O)O)N1C(=O)C([C@H](C)O)[C@H]21,,BBB-,,-1.0,B,,R13|,,b3db_classification:3393,,CNP0357586.1|CNP0357586.2,CNP0357586.1|CNP0357586.2,2
ICFDDEJRXZSWTA-KJFVXYAMSA-N,ICFDDEJRXZSWTA,CO[C@H]1CCC[C@H]2C1=C(C(=O)O)N1C(=O)[C@H]([C@@H](C)O)[C@@H]21,sanfetrinem,BBB-,,,C,,R6|,,b3db_classification:4901,,CNP0357586.1|CNP0357586.2,CNP0357586.1|CNP0357586.2,2
ICFDDEJRXZSWTA-UHFFFAOYSA-N,ICFDDEJRXZSWTA,COC1CCCC2C1=C(C(=O)O)N1C(=O)C(C(C)O)C21,sanfetrinem,BBB-,,-1.0,B,,R1|R27|R30|,,b3db_classification:1983,,CNP0357586.1|CNP0357586.2,CNP0357586.1|CNP0357586.2,2
ICFJFFQQTFMIBG-UHFFFAOYSA-N,ICFJFFQQTFMIBG,NC(N)=NC(N)=NCCc1ccccc1,phenformin,BBB-,,,C,,R14|,,b3db_classification:5361,,CNP0349223.0|CNP0563630.0,CNP0349223.0|CNP0563630.0,2
ICHHTOMWWAMJQP-CYBMUJFWSA-N,ICHHTOMWWAMJQP,CN1CCN2c3cc(F)ccc3C(c3cccs3)=NC[C@@H]2C1,unii-090de9crp1 component ichhtomwwamjqp-cybmujfwsa-n,BBB+,,-1.0,B,,R13|,,b3db_classification:3237,,,,0
ICHHTOMWWAMJQP-UHFFFAOYSA-N,ICHHTOMWWAMJQP,CN1CCN2c3cc(F)ccc3C(c3cccs3)=NCC2C1,timelotem,BBB+,,-1.0,B,,R1|R19|R6|R27|R27|R30|,,b3db_classification:1864,,,,0
ICHHTOMWWAMJQP-ZDUSSCGKSA-N,ICHHTOMWWAMJQP,CN1CCN2c3cc(F)ccc3C(c3cccs3)=NC[C@H]2C1,unii-090de9crp1 component ichhtomwwamjqp-zdusscgksa-n,BBB+,,,C,,R24|R27|R30|,,b3db_classification:6392,,,,0
ICIDIYCNVITODC-NKVPDAPKSA-N,ICIDIYCNVITODC,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc([N+](=O)[O-])c4C[C@@H]3C[C@@H]12,,BBB-,,-1.0,B,,R13|,,b3db_classification:3182,,,,0
ICIDIYCNVITODC-UHFFFAOYSA-N,ICIDIYCNVITODC,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc([N+](=O)[O-])c4CC3CC12,nitrocycline,BBB-,,-1.0,B,,R19|R27|,,b3db_classification:4445,,,,0
ICIDIYCNVITODC-UVPAEMEASA-N,ICIDIYCNVITODC,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc([N+](=O)[O-])c4C[C@H]3C[C@@H]12,nitrocycline,BBB-,,-1.0,B,,R1|R6|R27|R30|,,b3db_classification:1786,,,,0
ICPHJSKVAZMKIV-KRWDZBQOSA-N,ICPHJSKVAZMKIV,COc1cc2c(cc1OC)[C@H](c1ccccc1)CN(C)CC2,lopac-s-159,BBB+,,-1.0,B,,R13|R24|,,b3db_classification:3415,,,,0
ICPHJSKVAZMKIV-QGZVFWFLSA-N,ICPHJSKVAZMKIV,COc1cc2c(cc1OC)[C@@H](c1ccccc1)CN(C)CC2,trepipam (trimopam),BBB+,,-1.0,B,,R1|R27|R27|R30|R30|,,b3db_classification:2038,,,,0
ICPHJSKVAZMKIV-UHFFFAOYSA-N,ICPHJSKVAZMKIV,COc1cc2c(cc1OC)C(c1ccccc1)CN(C)CC2,trimopam,BBB+,,-1.0,B,,R19|R6|R27|,,b3db_classification:4557,,,,0
ICWQQYQFQZPVQG-MOGKGOFGSA-N,ICWQQYQFQZPVQG,C/C(O)=C1\C(=O)[C@@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)C2(O)C1=O,,BBB-,,-1.0,B,,R13|,,b3db_classification:2634,,,,0
ICWQQYQFQZPVQG-OVOAHTCPSA-N,ICWQQYQFQZPVQG,C/C(O)=C1/C(=O)[C@@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)C2(O)C1=O,,BBB-,,-1.0,B,,R13|,,b3db_classification:2633,,,,0
IDBPHNDTYPBSNI-UHFFFAOYSA-N,IDBPHNDTYPBSNI,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,trimethoprim,BBB+,,-1.0,B,,R1|R13|R19|R6|R14|R15|R23|R24|R27|R27|R27|R30|R30|R36|,,b3db_classification:1421,,CNP0449342.0,CNP0449342.0,1
IDKAXRLETRCXKS-UHFFFAOYSA-N,IDKAXRLETRCXKS,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,fenclofenac,BBB+,,,C,,R27|,,b3db_classification:7663,,,,0
IDPUKCWIGUEADI-UHFFFAOYSA-N,IDPUKCWIGUEADI,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,uramustine,BBB-,,,C,,R14|R23|,,b3db_classification:5430,,CNP0579116.0,CNP0579116.0,1
IDRYSCOQVVUBIJ-GYVRMIQVSA-N,IDRYSCOQVVUBIJ,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@@](C)(O)C[C@H](C)C(=O)[C@H](C)[C@H](O)[C@@H]1C,berythromycin,BBB-,,,C,,R27|R30|,,b3db_classification:7233,,CNP0222179.1,CNP0222179.1|CNP0222179.2|CNP0222179.3,3
IDRYSCOQVVUBIJ-PPGFLMPOSA-N,IDRYSCOQVVUBIJ,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,berythromycin,BBB-,,,C,,R6|,,b3db_classification:4833,,CNP0222179.1,CNP0222179.1|CNP0222179.2|CNP0222179.3,3
IDRYSCOQVVUBIJ-RBHSAEEBSA-N,IDRYSCOQVVUBIJ,CC[C@@H]1OC(=O)[C@H](C)[C@H](O[C@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@H](C)[C@H](O[C@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@H](C)C(=O)[C@@H](C)[C@H](O)[C@H]1C,,BBB-,,,C,,R24|,,b3db_classification:6299,,CNP0222179.1,CNP0222179.1|CNP0222179.2|CNP0222179.3,3
IDRYSCOQVVUBIJ-UHFFFAOYSA-N,IDRYSCOQVVUBIJ,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1C,berythromycin,BBB-,,-1.0,B,,R19|R27|,,b3db_classification:4369,,CNP0222179.1,CNP0222179.1|CNP0222179.2|CNP0222179.3,3
IDRYSCOQVVUBIJ-YXBVQPGOSA-N,IDRYSCOQVVUBIJ,CC[C@@H]1OC(=O)[C@@H](C)[C@@H](O[C@@H]2CC(C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@H](O[C@@H]2O[C@@H](C)C[C@H](N(C)C)[C@@H]2O)C(C)(O)C[C@H](C)C(=O)[C@@H](C)[C@@H](O)C1C,,BBB-,,-1.0,B,,R13|,,b3db_classification:3120,,CNP0222179.1,CNP0222179.1|CNP0222179.2|CNP0222179.3,3
IDRYSCOQVVUBIJ-ZTOAHLHUSA-N,IDRYSCOQVVUBIJ,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,berythromycin,BBB-,,-1.0,B,,R1|R27|R30|,,b3db_classification:1681,,CNP0222179.1,CNP0222179.1|CNP0222179.2|CNP0222179.3,3
IEANSZPCUCEGTM-CXAGYDPISA-N,IEANSZPCUCEGTM,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@H]1CN1CC[C@@H](O)C1,sb205605,BBB-,,-1.0,B,,R1|R28|R9|R24|R27|R30|,,b3db_classification:2389,,,,0
IEANSZPCUCEGTM-GUYCJALGSA-N,IEANSZPCUCEGTM,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@@H]1CN1CC[C@H](O)C1,chembl71759,BBB-,,-1.0,B,,R13|,,b3db_classification:3722,,,,0
IEANSZPCUCEGTM-UHFFFAOYSA-N,IEANSZPCUCEGTM,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2C1CN1CCC(O)C1,sb205605,BBB-,,-1.0,B,,R19|R27|R36|,,b3db_classification:4635,,,,0
IEBDTIUHMNLDTC-DHIUTWEWSA-N,IEBDTIUHMNLDTC,CCN(CC)CCOC(=O)[C@H](Cc1ccc2ccccc2c1)C[C@H]1CCCO1,zinc33985952,BBB+,,,C,,R27|,,b3db_classification:7146,,,,0
IECPWNUMDGFDKC-FCHPHHSKSA-N,IECPWNUMDGFDKC,CC(=O)O[C@H]1C[C@@]2(C)[C@H](C[C@H](O)[C@@H]3[C@]4(C)CC[C@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,,BBB-,,,C,,R24|,,b3db_classification:6053,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IECPWNUMDGFDKC-FRVBXGIOSA-N,IECPWNUMDGFDKC,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)C3[C@]2(C)CC[C@H]2[C@H](C)[C@H](O)CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)O,sr-05000001633,BBB-,,,C,,R6|,,b3db_classification:4723,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IECPWNUMDGFDKC-FZDYIGIASA-N,IECPWNUMDGFDKC,CC(=O)O[C@@H]1C[C@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@H](C)[C@@H]4CC[C@@]32C)C1=C(CCC=C(C)C)C(=O)O,fusidic-acid,BBB-,,,C,,R27|R30|,,b3db_classification:6918,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IECPWNUMDGFDKC-LHLOQNFPSA-N,IECPWNUMDGFDKC,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)/C1=C(/CCC=C(C)C)C(=O)O,fusidic acid,BBB-,,,C,,R23|,,b3db_classification:5616,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IECPWNUMDGFDKC-LTQQYQJISA-N,IECPWNUMDGFDKC,CC(=O)O[C@H]1CC2(C)[C@H](C[C@H](O)[C@H]3C4(C)CC[C@H](O)[C@@H](C)[C@@H]4CCC32C)/C1=C(/CCC=C(C)C)C(=O)O,,BBB-,,-1.0,B,,R13|,,b3db_classification:2754,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IECPWNUMDGFDKC-MZJAQBGESA-N,IECPWNUMDGFDKC,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,fusidic acid,BBB-,,-1.0,B,,R1|R27|R30|,,b3db_classification:1201,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IECPWNUMDGFDKC-UHFFFAOYSA-N,IECPWNUMDGFDKC,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O,mfcd00865135,BBB-,,-1.0,B,,R19|R14|R27|,,b3db_classification:4161,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IECPWNUMDGFDKC-UWOFSMMYSA-N,IECPWNUMDGFDKC,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)O,,BBB+,,,C,,R27|,,b3db_classification:6927,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IECPWNUMDGFDKC-VLWFJXRASA-N,IECPWNUMDGFDKC,CC(=O)OC1CC2(C)[C@H](C[C@H](O)[C@H]3C4(C)CC[C@H](O)[C@@H](C)[C@@H]4CCC32C)/C1=C(\CCC=C(C)C)C(=O)O,,BBB-,,-1.0,B,,R13|,,b3db_classification:2711,,CNP0276230.1|CNP0276230.2|CNP0276230.8,CNP0276230.1|CNP0276230.10|CNP0276230.11|CNP0276230.12|CNP0276230.13|CNP0276230.14|CNP0276230.15|CNP0276230.16|CNP0276230.2|CNP0276230.3|CNP0276230.4|CNP0276230.5|CNP0276230.6|CNP0276230.7|CNP0276230.8|CNP0276230.9,16
IELBAACIVCODPI-SECBINFHSA-N,IELBAACIVCODPI,C[C@@H](NC(C)(C)C)C(=O)c1ccc(Cl)cc1,zinc33647603,BBB+,,,C,,R27|,,b3db_classification:7463,,,,0
IENZQIKPVFGBNW-UHFFFAOYSA-N,IENZQIKPVFGBNW,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,prazosin,BBB+,-0.9,,A,B,R2|R2|R25|R46|,R2|R2|R25|R46|,b3db_classification:156,b3db_regression:343,CNP0336050.0|CNP0491885.0|CNP0588330.0,CNP0336050.0|CNP0491885.0|CNP0588330.0,3
IEOZIHFWECPTLH-FPOVZHCZSA-N,IEOZIHFWECPTLH,COc1ccc(-c2nccs2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,chembl147619,BBB+,,-1.0,B,,R13|,,b3db_classification:3423,,,,0
IEOZIHFWECPTLH-UHFFFAOYSA-N,IEOZIHFWECPTLH,COc1ccc(-c2nccs2)cc1CNC1CCCNC1c1ccccc1,161499-49-6,BBB+,0.36,,A,B,R25|R46|R47|R4|R2|R2|R8|R27|R40|,R25|R46|R47|R4|R2|R2|R8|R27|R40|,b3db_classification:751,b3db_regression:718,,,0
IEPBPSSCIZTJIF-UHFFFAOYSA-N,IEPBPSSCIZTJIF,O=C(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,clorethate,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:2423,,,,0
IEZDOKQWPWZVQF-UHFFFAOYSA-N,IEZDOKQWPWZVQF,O=C1CCC2CCC(=O)N12,rolziracetam,BBB+,,-1.0,B,,R1|R13|R19|R24|R27|R27|R27|R30|R30|,,b3db_classification:2442,,,,0
IFCRBTLYXKJRBO-BWRRFVNYSA-N,IFCRBTLYXKJRBO,NC(=O)C1C=CN(C[C@H]2CS[C@@H]3[C@@H](NC(=O)[C@H](c4ccccc4)S(=O)(=O)O)C(=O)N3[C@H]2C(=O)O)C=C1,,BBB-,,,C,,R24|,,b3db_classification:6692,,,,0
IFFOAHBQMKKYRJ-UHFFFAOYSA-N,IFFOAHBQMKKYRJ,N#Cc1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1,chembl239099,BBB+,-0.7,,A,B,R18|R26|R27|,R18|R26|R27|,b3db_classification:217,b3db_regression:380,,,0
IFKLAQQSCNILHL-HBMCJLEFSA-N,IFKLAQQSCNILHL,Oc1ccc2c(c1)[C@]13CCCC[C@]1(O)[C@H](C2)N(CC1CCC1)CC3,schembl20904174,BBB+,,,C,,R24|,,b3db_classification:6785,,,CNP0601168.1,1
IFKLAQQSCNILHL-QHAWAJNXSA-N,IFKLAQQSCNILHL,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,butorphanol,BBB+,,-1.0,B,,R1|R6|R15|R27|R27|R30|R30|,,b3db_classification:2557,,,CNP0601168.1,1
IFKLAQQSCNILHL-UHFFFAOYSA-N,IFKLAQQSCNILHL,Oc1ccc2c(c1)C13CCCCC1(O)C(C2)N(CC1CCC1)CC3,torbugesic,BBB+,,-1.0,B,,R13|R19|R14|R23|R27|,,b3db_classification:3808,,,CNP0601168.1,1
IFKPLJWIEQBPGG-KRWDZBQOSA-N,IFKPLJWIEQBPGG,CCC(=O)C(c1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,unii-thb9t1jz6c,BBB+,,,C,,R24|,,b3db_classification:6168,,,,0
IFKPLJWIEQBPGG-QGZVFWFLSA-N,IFKPLJWIEQBPGG,CCC(=O)C(c1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,isomethadone,BBB+,,,C,,R27|R30|,,b3db_classification:7051,,,,0
IFKPLJWIEQBPGG-UHFFFAOYSA-N,IFKPLJWIEQBPGG,CCC(=O)C(c1ccccc1)(c1ccccc1)C(C)CN(C)C,isomethadone,BBB+,,-1.0,B,,R1|R13|R19|R6|R27|R27|R30|,,b3db_classification:1414,,,,0
IFYLVUHLOOCYBG-UHFFFAOYSA-N,IFYLVUHLOOCYBG,CCNC1(c2ccccc2)CCCCC1,eticyclidine,BBB+,,-1.0,B,,R1|R13|R19|R6|R24|R27|R27|R27|R30|R30|,,b3db_classification:1621,,,,0
IGISNRIWPJVXDB-SECBINFHSA-N,IGISNRIWPJVXDB,CC[C@@H](OC(N)=O)C1CCCCC1,zinc33854788,BBB+,,,C,,R27|R30|,,b3db_classification:7194,,,,0
IGISNRIWPJVXDB-UHFFFAOYSA-N,IGISNRIWPJVXDB,CCC(OC(N)=O)C1CCCCC1,procymate,BBB+,,-1.0,B,,R1|R19|R6|R27|R27|R30|,,b3db_classification:1465,,,,0
IGISNRIWPJVXDB-VIFPVBQESA-N,IGISNRIWPJVXDB,CC[C@H](OC(N)=O)C1CCCCC1,zinc660,BBB+,,-1.0,B,,R13|R24|,,b3db_classification:3141,,,,0
IGMKTIJBFUMVIN-GOSISDBHSA-N,IGMKTIJBFUMVIN,CN(c1nc2ccccc2s1)C1CCN(C[C@@H](O)COc2ccc(F)cc2)CC1,(r)-sabeluzole,BBB+,,,C,,R24|,,b3db_classification:6376,,,,0
IGMKTIJBFUMVIN-SFHVURJKSA-N,IGMKTIJBFUMVIN,CN(c1nc2ccccc2s1)C1CCN(C[C@H](O)COc2ccc(F)cc2)CC1,(s)-sabeluzole,BBB+,,-1.0,B,,R13|R27|R30|,,b3db_classification:3202,,,,0
IGMKTIJBFUMVIN-UHFFFAOYSA-N,IGMKTIJBFUMVIN,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,sabeluzole,BBB+,0.78,,A,B,R2|R2|R25|R27|R46|R47|,R2|R2|R25|R27|R46|R47|,b3db_classification:917,b3db_regression:820,,,0
IGPDWKCUDHIIRL-LLVKDONJSA-N,IGPDWKCUDHIIRL,NC(=O)N1C(=O)[C@@H](C(=O)c2cccs2)c2cc(Cl)ccc21,(3r)-5-chloro-2-oxo-3-(thiophene-2-carbonyl)-3h-indole-1-carboxamide,BBB+,,,C,,R27|,,b3db_classification:7618,,,,0
IGUBZXXWVQQSPY-GOSISDBHSA-N,IGUBZXXWVQQSPY,Cc1ccc(Cn2c([C@H]3CNCCO3)nc3ccccc32)cc1,chembl1935441,BBB+,0.36,,A,B,R2|R2|R25|R27|R46|,R2|R2|R25|R27|R46|,b3db_classification:752,b3db_regression:719,,,0
